table_name	column_name
CRMData	ApprovalThresholdForCEO
CRMData	CreatedDate
CRMData	InceptionDate
CRMData	MasterCustID
CRMData	QuoteStatus
CRMData	AccountManger
CRMData	BrokerName
CRMData	OpportunityCreationDate
CRMData	Comments
CRMData	TotalMembers
CRMData	OpportunityStatus
CRMData	UpdatedDate
CRMData_SubAccounts	ID
CRMData_SubAccounts	OpportunityParentChildCrmID
CRMData_SubAccounts	ContractNo
CRMData_SubAccounts	LastYearPremiumBeforeVAT
CRMData_SubAccounts	CurrentPremiumBeforeVAT
CRMData_SubAccounts	BrokerCommision
CRMData_SubAccounts	CRMApprovedDiscount
CRMData_SubAccounts	PricingUser
CRMData_SubAccounts	Region
CRMData_SubAccounts	ApprovalThresholdForManager
CRMData_SubAccounts	ApprovalThresholdForHead
CRMData_SubAccounts	ApprovalThresholdForDirector
CRMData_SubAccounts	ApprovalThresholdForCEO
CRMData_SubAccounts	CreatedDate
CRMData_SubAccounts	InceptionDate
CRMData_SubAccounts	MasterCustID
CRMData_SubAccounts	QuoteStatus
CRMData_SubAccounts	AccountManger
CRMData_SubAccounts	BrokerName
CRMData_SubAccounts	OpportunityCreationDate
CRMData_SubAccounts	Comments
CRMData_SubAccounts	TotalMembers
CRMData_SubAccounts	OpportunityStatus
CRMData_SubAccounts	UpdatedDate
CRMOpportunityStatus	Id
CRMOpportunityStatus	OpportunityID
CRMOpportunityStatus	OptionID
CRMOpportunityStatus	ClientIdName
CRMOpportunityStatus	MasterClientID
CRMOpportunityStatus	ClientID
CRMOpportunityStatus	ContractNo
CRMOpportunityStatus	OpportunityStatus
CRMOpportunityStatus	OptionStatus
CRMOpportunityStatus	PricingCounter
CRMOpportunityStatus	OptionNumber
CRMOpportunityStatus	CustomerName
CRMOpportunityStatus	UpdatedDate
CRMOpportunityStatus	UpdatedByUser
CRMOpportunityStatus	OppoId
CRMOpportunityStatus_log	OpportunityID
CRMOpportunityStatus_log	OptionID
CRMOpportunityStatus_log	ClientIdName
CRMOpportunityStatus_log	MasterClientID
CRMOpportunityStatus_log	ClientID
CRMOpportunityStatus_log	ContractNo
CRMOpportunityStatus_log	OpportunityStatus
CRMOpportunityStatus_log	OptionStatus
CRMOpportunityStatus_log	PricingCounter
CRMOpportunityStatus_log	OptionNumber
CRMOpportunityStatus_log	CustomerName
CRMOpportunityStatus_log	UpdatedDate
CRMOpportunityStatus_log	UpdatedByUser
CRMOpportunityStatus_log	OppoId
Deductible	ID
Deductible	BatchID
Deductible	BenefitID
Deductible	NetWorkID
Deductible	Percentage
Deductible	Value
DeductibleCap	ID
DeductibleCap	BatchID
DeductibleCap	NetWorkID
DeductibleCap	Percentage
DeductibleCap	CapFrom
DeductibleCap	Cap
DeductibleCap	Value
DelegateExGratia	ID
DelegateExGratia	OpportunityId
DelegateExGratia	NoOfDelegates
DelegateExGratia	DelegateCost
DelegateExGratia	TotalDelegateCost
DelegateExGratia	ExGratia
DelegateExGratia	CreatedBy
DelegateExGratia	CreatedDate
EmailNotificationLogs	Id
EmailNotificationLogs	OpportunityId
EmailNotificationLogs	ToEmail
EmailNotificationLogs	Subject
EmailNotificationLogs	EmailContent
EmailNotificationLogs	CreatedBy
EmailNotificationLogs	CreatedDate
ErrorLogs	LogID
ErrorLogs	ErrorType
ErrorLogs	ErrorMessage
ErrorLogs	InnerException
ErrorLogs	StackTrace
ErrorLogs	ActionBy
ErrorLogs	ActionTime
FactorUploadReminders	ID
FactorUploadReminders	ConfigurationTypeID
FactorUploadReminders	FactorTypeDescription
FactorUploadReminders	BatchType
FactorUploadReminders	AlertFrequency
FactorUploadReminders	BatchDate
FactorUploadReminders	Reminder1Date
FactorUploadReminders	Reminder2Date
FactorUploadReminders	Status
FactorUploadReminders	LastUploadedDate
FactorUploadReminders	CreatedBy
FactorUploadReminders	CreatedDate
FactorUploadReminders	UpdatedBy
FactorUploadReminders	UpdatedDate
FactorUploadReminders	LastRemindedDate
FactorUploadReminders	ToEmailAddresses
FactorUploadReminders	CCEmailAddresses
FamilyStatus	ID
FamilyStatus	Name
FinancialPosition	TechnicalResultID
FinancialPosition	OpportunityID
FinancialPosition	ContractID
FinancialPosition	UnderwritingYear
FinancialPosition	PopulationExposedToRisk
FinancialPosition	WrittenPremium
FinancialPosition	WrittenPremiumCommission
FinancialPosition	UltimateClaimsIncurred
FinancialPosition	CompletionPercent
FinancialPosition	FrequencyPerExposure
FinancialPosition	AverageClaimCost
FinancialPosition	UltimateLossRatio
FinancialPosition	IsAddedYear
FinancialPosition	DataRefreshDate
FrequentUser	ID
FrequentUser	OpportunityID
